권역,가게명,음주 종류,리뷰 수,가격대
합정,카에루,이자카야,300,30000
합정,낮달,요리주점,351,30000
합정,달의다락,"맥주,호프",381,20000
합정,제이네살롱,요리주점,468,10000
합정,호맥 합정점,"맥주,호프",117,20000
합정,어른이대공원,"맥주,호프",237,20000
합정,서울브루어리,"맥주,호프",156,50000
합정,카즈,이자카야,112,50000
합정,아소토,이자카야,18,30000
합정,바우리,바(BAR),42,20000
합정,비앤비,바(BAR),69,20000
합정,미야비,이자카야,108,50000
합정,형제집,요리주점,46,30000
합정,카사블랑코,요리주점,12,30000
합정,APT201,바(BAR),174,30000
합정,색다른한잔,"맥주,호프",94,20000
합정,과일가게,요리주점,69,30000
합정,남자식탁,이자카야,38,30000
합정,얼맥당 합정점,"맥주,호프",34,10000
합정,깊은숲,"맥주,호프",227,20000
합정,한송이꽃이,요리주점,260,50000
합정,히게쯔라,이자카야,195,50000
합정,브루브루,"맥주,호프",12,20000
합정,익순,요리주점,23,50000
합정,준지의아름다운하루,이자카야,50,70000
합정,달리,요리주점,138,20000
합정,토리토라,이자카야,135,60000
합정,시소,요리주점,51,20000
합정,오프모먼트,이자카야,31,20000
합정,로원,이자카야,49,30000
합정,호랑이,요리주점,43,20000
합정,명당,요리주점,19,30000
합정,퓨전선술집,이자카야,126,70000
합정,오늘와인한잔 합정역점,바(BAR),90,50000
합정,인덕상점,요리주점,36,100000
합정,가제트술집 합정본점,"전통,민속주점",136,10000
합정,넉탐,요리주점,56,20000
합정,미미본관,포장마차,72,30000
합정,라이프,요리주점,1,20000
합정,야관문,요리주점,22,20000
합정,금강산호프,"맥주,호프",35,20000
합정,포차 프리,포장마차,9,50000
합정,펍트라이브,"맥주,호프",41,70000
합정,Vinyl Music,바(BAR),0,20000
합정,호수꼬치 홍대합정점,요리주점,3,20000
합정,SIP,와인,44,20000
합정,여피,와인,60,20000
합정,블루스 하우스,바(BAR),2,30000
합정,크래머리,"맥주,호프",61,20000
합정,생활맥주 합정동점,"맥주,호프",52,20000
합정,도리,요리주점,13,50000
합정,부스터 합정,"맥주,호프",50,50000
합정,디머,바(BAR),0,30000
합정,붕붕식당,요리주점,22,70000
합정,세발자전거,요리주점,59,70000
합정,카우카우펍 합정점,"맥주,호프",64,30000
합정,럭키스트라이크,바(BAR),27,30000
합정,도쿠로야,요리주점,32,20000
합정,대박노가리,"맥주,호프",9,70000
합정,철스뮤직,"맥주,호프",2,70000
합정,한국인의 술상,"전통,민속주점",56,50000
합정,하이에나,포장마차,1,50000
합정,리슨,바(BAR),34,70000
합정,학쌀롱,바(BAR),17,30000
합정,닭숲,요리주점,4,30000
합정,들개,요리주점,3,30000
합정,살롱토끼굴,바(BAR),19,20000
합정,마카로니펑키클럽,바(BAR),18,20000
합정,오비베어 합정점,"맥주,호프",21,20000
합정,짝태앤노가리 합정점,포장마차,6,20000
합정,인생술집,요리주점,0,20000
합정,soft touch,바(BAR),18,20000
합정,Ms 오뎅바,요리주점,16,20000
합정,주모포차,포장마차,6,20000
합정,펀비어킹 메세나폴리점,"맥주,호프",6,30000
합정,캐서린포차,포장마차,16,20000
합정,합정포차포차,포장마차,19,20000
합정,바울프,바(BAR),25,20000
합정,LP 메모리,"맥주,호프",1,10000
합정,프로펫,와인,6,50000
합정,Play Unknown Beer,"맥주,호프",1,30000
합정,양화진,요리주점,17,20000
합정,Non mainstreamers,바(BAR),1,20000
합정,9279잘군 합정,"맥주,호프",9,30000
합정,안주야,요리주점,37,20000
합정,쿠바포차 하바나24시,포장마차,1,20000
합정,술술술,"전통,민속주점",4,10000
합정,삐친노가리,"맥주,호프",25,10000
합정,프리바다7272,"맥주,호프",25,20000
합정,인디고 바,바(BAR),27,70000
합정,빠바다,바(BAR),2,70000
합정,쇼신,요리주점,8,20000
합정,더꼬치다 마포합정점,"맥주,호프",4,20000
합정,OB베어,"맥주,호프",2,30000
합정,무릉도원2015,요리주점,6,20000
합정,노가리의숲,"맥주,호프",5,10000
합정,오쿠보이자카야,이자카야,0,30000
합정,자색휴일,요리주점,0,40000
합정,투다리 합정점,요리주점,8,20000
합정,마스터소묘,"맥주,호프",3,30000
합정,카즈,이자카야,4,30000
합정,더 미루,"맥주,호프",1,20000
합정,야관문위스키포차 합정점,포장마차,16,20000
합정,구름공방 합정역점,"맥주,호프",40,30000
합정,마르디그라,포장마차,1,20000
합정,샤이닝스타,바(BAR),4,20000
합정,소프트터치,바(BAR),3,30000
합정,매일노가리,"맥주,호프",0,10000
합정,서울무지개호프합정점,"맥주,호프",2,30000
합정,형무호프,"맥주,호프",0,20000
합정,마디포차,포장마차,3,20000
합정,상구비어 합정점,"맥주,호프",5,10000
합정,offmoment,이자카야,0,40000
합정,치맥마쵸,"맥주,호프",0,20000
합정,이륙,요리주점,1,50000
합정,전야제,요리주점,2,40000
합정,줍,요리주점,0,30000
합정,유메,이자카야,924,70000
합정,웨일펍,"맥주,호프",357,20000
합정,친구네집빈날,요리주점,316,10000
합정,오복수산,요리주점,523,50000
합정,블랑누아,와인,406,20000
합정,발리 슈퍼스토어,"맥주,호프",634,20000
합정,요호식당,이자카야,151,20000
합정,루프탑어반비치,바(BAR),181,20000
합정,단정,와인,30,20000
합정,와인식탁,와인,216,50000
합정,아이디어스 테이블,"맥주,호프",102,20000
합정,우수살롱,와인,68,50000
합정,쿠루미,이자카야,280,70000
합정,개화기요정,요리주점,742,70000
합정,어반루프,바(BAR),35,20000
합정,우이락,"전통,민속주점",102,20000
합정,모우모우 홍대점,요리주점,389,50000
합정,살롱드마르잔,와인,243,70000
합정,어쩌다와인,와인,281,70000
합정,참새방앗간,요리주점,323,30000
합정,연주방,요리주점,135,30000
합정,카쿠시타,이자카야,296,20000
합정,하키,이자카야,279,50000
합정,화실,와인,96,50000
합정,루프탑 G,바(BAR),298,70000
합정,망원 그곳,"맥주,호프",203,20000
합정,앵춘,요리주점,218,10000
합정,동남방앗간,와인,300,70000
합정,크래프트한스 연남직영점,"맥주,호프",167,50000
합정,보라초,요리주점,275,50000
합정,야키토리도토리,이자카야,298,20000
합정,장끼전,"전통,민속주점",152,20000
합정,웬디앤브레드,와인,262,50000
합정,역전상회,포장마차,74,10000
합정,홈그라운드,요리주점,0,50000
합정,HOME FROM GUI,바(BAR),100,50000
합정,김씨네심야식당,이자카야,394,20000
합정,세부인보드카,요리주점,215,20000
합정,1987 루프탑라운지,바(BAR),307,30000
합정,유메노요코쵸,이자카야,406,10000
합정,술개구리,"전통,민속주점",153,30000
합정,와인로그,와인,397,20000
합정,JASE,바(BAR),490,30000
합정,온달집 홍대직영점,요리주점,40,20000
합정,미티,와인,23,70000
합정,칠린 카페앤펍,"맥주,호프",23,20000
합정,텐트서울,바(BAR),58,20000
합정,미식가주택,요리주점,125,70000
합정,홍옥,바(BAR),11,70000
합정,바코포차,요리주점,218,30000
합정,은밀당,요리주점,174,70000
합정,더캐스크,"맥주,호프",1174,20000
합정,원나잇,요리주점,372,20000
합정,프라하펍,"맥주,호프",77,50000
합정,쿠시카츠쿠시엔,요리주점,133,70000
합정,육전면사무소 합정교보문고점,"전통,민속주점",188,10000
합정,고작수요일,와인,129,50000
합정,꼬치주간,이자카야,55,50000
합정,주무대,요리주점,184,70000
합정,접대 저번에우리가만난그때,요리주점,466,40000
합정,선술집 위군,요리주점,45,70000
합정,제이케이펍,"맥주,호프",157,20000
합정,페페로니,요리주점,62,70000
합정,비포선라이즈,포장마차,343,20000
합정,650,바(BAR),82,20000
합정,뮤다,이자카야,204,30000
합정,너랑나랑호프,"맥주,호프",112,20000
합정,브루하임,"맥주,호프",79,20000
합정,아크틱,요리주점,93,50000
합정,어시장 3대,요리주점,259,30000
합정,주섬주섬,요리주점,273,10000
합정,심야식당 킨빠,이자카야,44,20000
합정,예술집,요리주점,66,50000
합정,팁시플로어,"맥주,호프",140,50000
합정,버프,바(BAR),264,10000
을지로,만선호프 노가리체인본점,"맥주,호프",589,20000
을지로,맥주덕후x더랜치브루잉,"맥주,호프",692,50000
을지로,행2PM8PM,와인,552,30000
을지로,아트몬스터 을지로점,"맥주,호프",6,50000
을지로,을지OB베어,"맥주,호프",348,10000
을지로,을지맥옥,"맥주,호프",416,20000
을지로,희스토리 다락방 와인바,와인,220,70000
을지로,르템플,바(BAR),211,30000
을지로,after jerk off,바(BAR),167,30000
을지로,을지오뎅,요리주점,284,30000
을지로,평균율,와인,270,50000
을지로,7.8막걸리,"전통,민속주점",49,20000
을지로,리브로,와인,22,20000
을지로,수표교호프,"맥주,호프",288,20000
을지로,취향로3가,바(BAR),142,20000
을지로,을지로 브이,바(BAR),85,10000
을지로,우화식당,요리주점,113,20000
을지로,백만불식품,요리주점,68,20000
을지로,고씨네고추장찌개,포장마차,142,10000
을지로,59계단 와인바,바(BAR),25,20000
을지로,원조만선호프,"맥주,호프",81,20000
을지로,드므,와인,57,30000
을지로,을지로사색 와인바,와인,284,30000
을지로,FINSKY,바(BAR),97,50000
을지로,5시37분,와인,65,20000
을지로,소규모와인bar,와인,106,30000
을지로,물결,와인,87,20000
을지로,을지로쎄시봉,바(BAR),24,70000
을지로,에이스포클럽,바(BAR),76,50000
을지로,MXL,와인,62,50000
을지로,빈집 비어있는집,와인,88,50000
을지로,십분의일,와인,337,50000
을지로,알렉스룸,바(BAR),62,20000
을지로,감각의제국,바(BAR),185,20000
을지로,드레싱룸,바(BAR),63,70000
을지로,뱅뱅골뱅이,요리주점,61,20000
을지로,온더무브,바(BAR),37,70000
을지로,결국 와인바,바(BAR),48,30000
을지로,노보텔 앰배서더 서울 동대문 고메바,바(BAR),342,70000
을지로,을지로보석,요리주점,109,80000
을지로,머리조심,바(BAR),101,50000
을지로,콘크리트포이트리,바(BAR),39,30000
을지로,바302호,바(BAR),103,30000
을지로,부지,와인,10,30000
을지로,끽비어컴퍼니,"맥주,호프",51,10000
을지로,깊은못,와인,129,50000
을지로,와인주막차차 을지 트윈타워점,와인,60,70000
을지로,와인바 굴,와인,69,70000
을지로,향연,와인,32,30000
을지로,네평반,바(BAR),3,50000
을지로,을지로삼발이,바(BAR),63,50000
을지로,와인술사 와인바,와인,86,70000
을지로,와라와라 동대문점,요리주점,70,50000
을지로,연주 을지로와인바,와인,49,50000
을지로,을지로맨틱,바(BAR),57,20000
을지로,을지골뱅이,"맥주,호프",60,20000
을지로,루덴스,바(BAR),50,30000
을지로,탭하우스 문,"맥주,호프",130,50000
을지로,을지로 유카네,이자카야,19,50000
을지로,김작가의이중생활 현대시티아울렛동대문점,요리주점,75,20000
을지로,뮌헨호프,"맥주,호프",245,10000
을지로,그린다방,와인,30,20000
을지로,을지로움,와인,11,50000
을지로,일단,"맥주,호프",22,20000
을지로,만선호프2,"맥주,호프",44,20000
을지로,을지로작은바,와인,52,10000
을지로,충무오뎅,요리주점,55,10000
을지로,진달래,와인,10,50000
을지로,지하302호,와인,17,100000
을지로,김림,바(BAR),0,30000
을지로,바지선 라딸랑뜨,바(BAR),4,30000
을지로,역전할머니맥주 을지로3가역점,"맥주,호프",3,30000
을지로,로스트앤파운드,바(BAR),31,50000
을지로,빈티지라이언,바(BAR),9,20000
을지로,대림호프,"맥주,호프",19,20000
을지로,쿄다이,이자카야,21,30000
을지로,옥상몽운,바(BAR),3,50000
을지로,을지로42바,"맥주,호프",1,50000
을지로,연남701호,요리주점,13,30000
을지로,포언더바,바(BAR),6,50000
을지로,펄프,요리주점,3,10000
