권역,장소명,요약,장소 세부
후암동,N서울타워,"산책(한강, 공원, 전망대)",전망대
후암동,남산둘레길,"산책(한강, 공원, 전망대)",올레둘레길
후암동,남산,"산책(한강, 공원, 전망대)","산,고개"
후암동,남산공원,"산책(한강, 공원, 전망대)","도시,테마공원"
후암동,후암동108계단,"산책(한강, 공원, 전망대)",지역명소
후암동,남산팔각정,"산책(한강, 공원, 전망대)",부속건물
후암동,남산서울타워 한복문화체험,"공방, 체험","관람,체험"
후암동,가을단풍길(남산북측순환로),"산책(한강, 공원, 전망대)",계절거리
후암동,잠두봉 포토아일랜드,"산책(한강, 공원, 전망대)",전망대
후암동,해쉬더우드,"공방, 체험",공방
후암동,아뜰리에후,"공방, 체험",공방
후암동,반짝이는날들,"공방, 체험",공방
후암동,문화공작소,"공방, 체험",공방
후암동,꾸미꾸쥐,"공방, 체험",공방
후암동,바엘가죽공방,"공방, 체험",공방
후암동,아솜샵,"공방, 체험",공방
후암동,베이지컬리,"공방, 체험",공방
후암동,온에어 아뜰리에,"공방, 체험",공방
망원동,망원 한강공원,"산책(한강, 공원, 전망대)",시민공원
망원동,망리단길,"산책(한강, 공원, 전망대)",도보코스
망원동,선유도공원,"산책(한강, 공원, 전망대)",근린공원
망원동,하늘공원,"산책(한강, 공원, 전망대)","자연,생태공원"
망원동,평화의공원,"산책(한강, 공원, 전망대)","도시,테마공원"
망원동,메타세콰이어길,"산책(한강, 공원, 전망대)",부속시설
망원동,하늘공원웰빙황토길,"산책(한강, 공원, 전망대)",부속시설
망원동,난지한강공원이색자전거체험장,"산책(한강, 공원, 전망대)",부속시설
망원동,망원한강공원산악자전거체험장,"산책(한강, 공원, 전망대)",부속시설
을지로,을지로노가리골목,거리,"거리,골목"
을지로,청계천헌책방거리,거리,문화거리
을지로,을지로골뱅이골목,거리,"거리,골목"
을지로,DDP청춘런웨이마켓,쇼핑,시장
을지로,동대문패션거리,거리,"거리,골목"
을지로,쌈지길,거리,"거리,골목"
을지로,광장시장,쇼핑,시장
을지로,남산골한옥마을,거리,
을지로,청계천,거리,"거리,골목"
을지로,청계천한빛광장,"산책(한강, 공원, 전망대)",근린공원
을지로,명보아트시네마,"영화관, 극장, 공연",영화관
을지로,서울극장,"영화관, 극장, 공연",극장
을지로,명동지하쇼핑센터,쇼핑,쇼핑센터
을지로,명동의남암명랑시장,쇼핑,극장
을지로,명동예술극장,"영화관, 극장, 공연",극장
을지로,눈스퀘어,쇼핑,상가
을지로,서울광장,거리,광장
을지로,을지로입구지하쇼핑센터,쇼핑,쇼핑센터
을지로,청계천 한빛광장,거리,광장
을지로,액션드로잉히어로전용관,"영화관, 극장, 공연",공연장
을지로,중구청광장,거리,광장
을지로,삼풍상가,쇼핑,쇼핑센터
합정,빈칸,"전시회, 박물관, 미술관",전시관
합정,홍대솔내길,거리,"거리,골목"
합정,신한류플러스,"전시회, 박물관, 미술관",전시관
합정,망원한강공원론볼링장,"실내 활동적(볼링, 테마)",부속시설
합정,유니아트홀,"전시회, 박물관, 미술관",전시관
합정,절두산 천주교 순교성지순교자박물관,"전시회, 박물관, 미술관",박물관
합정,러브뮤지엄,"전시회, 박물관, 미술관",뮤지엄
합정,트릭아이뮤지엄 서울,"전시회, 박물관, 미술관",뮤지엄
합정,스타티스뮤지엄,"전시회, 박물관, 미술관",뮤지엄
합정,서울함 공원,"실내 활동적(볼링, 테마)","도시,테마공원"
합정,아이스뮤지엄,"전시회, 박물관, 미술관",뮤지엄
합정,홍익문화공원,"실내 활동적(볼링, 테마)","도시,테마공원"
합정,홍대벽화거리,거리,"거리,골목"
합정,코코갤러리,"전시회, 박물관, 미술관",전시관
합정,3RD MUSEUM,"전시회, 박물관, 미술관",전시관
합정,월계수양복점신사들 촬영지,"실내 활동적(볼링, 테마)",지역명소
합정,엘리펀트스페이스,"전시회, 박물관, 미술관",전시관
합정,어반무브먼트살롱댄서스라운지,"전시회, 박물관, 미술관",전시관
합정,NVM,"전시회, 박물관, 미술관",미술관
합정,극동방송M스튜디오,"전시회, 박물관, 미술관",전시관
합정,모먼트플레이스,"전시회, 박물관, 미술관",전시관
합정,스매싱볼 홍대점,"실내 활동적(볼링, 테마)",볼링장
합정,W락볼링장,"실내 활동적(볼링, 테마)",볼링장
합정,더조커홍대점,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
합정,친구네 놀이터,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
합정,더메이즈VR,"실내(VR, 방탈출, 오락실, 보드카페)",VR
합정,보드팩토리,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
합정,히어로 보드게임카페,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
합정,슈퍼보드,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
합정,메이드보드게임카페,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
합정,짱오락실 홍대점,"실내(VR, 방탈출, 오락실, 보드카페)",오락실
합정,반지대학 홍대본점,"실내 활동적(볼링, 테마)",테마카페
합정,심리치유카페멘토,"실내 활동적(볼링, 테마)",테마카페
합정,Play ONE PIECE,"실내 활동적(볼링, 테마)",테마카페
합정,세컨드퍼즐,"실내 활동적(볼링, 테마)",테마카페
합정,제피로스,"실내 활동적(볼링, 테마)",테마카페
합정,벌툰 홍대본점,"실내 활동적(볼링, 테마)",테마카페
합정,덤앤더머 방탈출카페 홍대점,"실내 활동적(볼링, 테마)",테마카페
합정,맥스이스케이프,"실내 활동적(볼링, 테마)",테마카페
합정,브레이크아웃이스케이프,"실내 활동적(볼링, 테마)",테마카페
합정,클럽보다만화,"실내 활동적(볼링, 테마)",테마카페
합정,홍대동물원,"실내 활동적(볼링, 테마)",테마카페
합정,마포다방,"실내 활동적(볼링, 테마)",테마카페
합정,주 인더 시티,"실내 활동적(볼링, 테마)",테마카페
합정,라쿤카페 맹쿤,"실내 활동적(볼링, 테마)",테마카페
합정,카페펫크루,"실내 활동적(볼링, 테마)",테마카페
합정,비밀의화원 미드나잇,"실내 활동적(볼링, 테마)",테마카페
합정,미래안 사주카페,"실내 활동적(볼링, 테마)",테마카페
합정,크라임씬카페 퍼즐팩토리 홍대점,"실내 활동적(볼링, 테마)",테마카페
합정,미어캣프렌즈,"실내 활동적(볼링, 테마)",테마카페
합정,아쿠아쿠카페,"실내 활동적(볼링, 테마)",테마카페
합정,비트포비아 홍대던전,"실내 활동적(볼링, 테마)",테마카페
합정,키이스케이프 홍대점,"실내 활동적(볼링, 테마)",테마카페
합정,라운지플스방,"실내(VR, 방탈출, 오락실, 보드카페)",VR
합정,VR라이브,"실내(VR, 방탈출, 오락실, 보드카페)",VR
합정,코티지가든,"실내 활동적(볼링, 테마)",테마카페
합정,엑소더스 홍대점,"실내 활동적(볼링, 테마)",테마카페
합정,보이드 블랭킷,"실내 활동적(볼링, 테마)",테마카페
성수동,성수미술관,"전시회, 박물관, 미술관",미술관
성수동,반지만들기카페 건대점,"공방, 체험",체험
성수동,우주로캣,"공방, 체험",고양이카페
성수동,크림사주카페,"공방, 체험",사주카페
성수동,서울숲,"산책(한강, 공원, 전망대)",공원
성수동,뚝섬 미술관,"전시회, 박물관, 미술관",미술관
성수동,성수 미술관,"전시회, 박물관, 미술관",미술관
성수동,성수동 수제화 거리,쇼핑,수제화
성수동,뚝섬 한강공원,"산책(한강, 공원, 전망대)",공원
성수동,시몬스 하드웨어 팝업 스토어 굿즈,쇼핑,쇼핑
성수동,더서울라이티움,"전시회, 박물관, 미술관",전시관
성수동,본다빈치뮤지엄 서울숲,"전시회, 박물관, 미술관",전시관
성수동,서울숲 아트센터,"전시회, 박물관, 미술관",전시관
성수동,챕터투 야드,"전시회, 박물관, 미술관",전시관
성수동,FUTRO SPACE,"전시회, 박물관, 미술관",전시관
성수동,공간칠일,"전시회, 박물관, 미술관",전시관
성수동,성수수제화희망플랫폼,"전시회, 박물관, 미술관",전시관
성수동,헬로우 아일랜드,"전시회, 박물관, 미술관",전시관
성수동,브레가 아티스트 프로젝트,"전시회, 박물관, 미술관",전시관
성수동,Human Art Museum,"전시회, 박물관, 미술관",전시관
성수동,S FACTORY A동,"전시회, 박물관, 미술관",전시관
성수동,서.울.숲 벨라듀,"전시회, 박물관, 미술관",전시관
성수동,앰랩,"전시회, 박물관, 미술관",전시관
성수동,육영재단 어린이회관문화관,"전시회, 박물관, 미술관",전시관
성수동,서울시어린이예술마당,"전시회, 박물관, 미술관",전시관
성수동,손기정전시관,"전시회, 박물관, 미술관",전시관
성수동,생활정치좋은교육포럼,"전시회, 박물관, 미술관",전시관
성수동,앰랩,"전시회, 박물관, 미술관",전시관
성수동,육영재단 어린이회관문화관,"전시회, 박물관, 미술관",전시관
성수동,서울시어린이예술마당,"전시회, 박물관, 미술관",전시관
성수동,손기정전시관,"전시회, 박물관, 미술관",전시관
성수동,생활정치좋은교육포럼,"전시회, 박물관, 미술관",전시관
송리단길,콩VR 롯데월드몰점,"실내(VR, 방탈출, 오락실, 보드카페)",오락시설
송리단길,롯데월드 VR 스페이스,"실내(VR, 방탈출, 오락실, 보드카페)",오락시설
송리단길,올림픽공원,"산책(한강, 공원, 전망대)",공원
송리단길,석촌호수,"산책(한강, 공원, 전망대)",호수
송리단길,올림픽공원 조각공원,"실내 활동적(볼링, 테마)",테마공원
송리단길,롯데월드매직아일랜드,"실내 활동적(볼링, 테마)",테마파크
송리단길,롯데월드,"실내 활동적(볼링, 테마)",테마파크
송리단길,송이공원,"실내 활동적(볼링, 테마)","도시,테마공원"
송리단길,롯데뮤지엄,"전시회, 박물관, 미술관",미술관
송리단길,한성백제박물관,"전시회, 박물관, 미술관",박물관
송리단길,한국광고박물관,"전시회, 박물관, 미술관",박물관
송리단길,롯데월드민속박물관,"전시회, 박물관, 미술관",박물관
송리단길,송파책박물관,"전시회, 박물관, 미술관",박물관
송리단길,보드게임카페 갬성,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
송리단길,몬스터핸드보드카페,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
송리단길,푸른하늘,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
송리단길,고전게임카페,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
송리단길,숨 보드카페,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
송리단길,오렌지보드카페,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
송리단길,빅보드카페,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
송리단길,석촌볼링장,"실내 활동적(볼링, 테마)",볼링장
송리단길,아우라 락 볼링장,"실내 활동적(볼링, 테마)",볼링장
송리단길,Funit,"실내(VR, 방탈출, 오락실, 보드카페)",오락실
송리단길,KONGVR 롯데월드몰점,"실내(VR, 방탈출, 오락실, 보드카페)",오락실
송리단길,서울스카이 (제2롯데월드),"산책(한강, 공원, 전망대)",전망대
송리단길,익스몬스터,"실내 활동적(볼링, 테마)",테마카페
송리단길,디저트랩,"실내 활동적(볼링, 테마)",테마카페
송리단길,파티트리,"실내 활동적(볼링, 테마)",테마카페
송리단길,미니막스 카페,"실내 활동적(볼링, 테마)",테마카페
송리단길,롯데월드플레잇,"실내 활동적(볼링, 테마)",테마카페
쌍리단길,차이공방,"공방, 체험",공방
쌍리단길,시나몬캔들,"공방, 체험",공방
쌍리단길,캔들라부이,"공방, 체험",공방
쌍리단길,르숀스튜디오,"공방, 체험",공방
쌍리단길,아트플로레,"공방, 체험","공방, 디저트"
가로수길,슬리크 스튜디오,"공방, 체험","공방(핸드페인팅, 마카쥬 - 가죽)"
가로수길,젬하우스,"공방, 체험",공방(반지공방)
가로수길,97studio,"공방, 체험",공방(미술)
가로수길,아워드로잉,"공방, 체험",공방(미술)
가로수길,GIALLO,"공방, 체험",공방(가죽공방)
가로수길,노엘블랑,"공방, 체험",공방(가죽공방)
가로수길,시몬느 가죽공방,"공방, 체험",공방(가죽공방)
가로수길,메리지안 작업실,"공방, 체험",공방(미술)
가로수길,스텔라,"공방, 체험",공방(도자기)
가로수길,JIAstudio,"공방, 체험",공방(가죽)
가로수길,Hertz of Cat,"공방, 체험",공방(반려묘 아로마)
가로수길,라탄갤러리,"공방, 체험",공방(라탄공예)
가로수길,라삐에스,"공방, 체험",공방(가죽)
가로수길,벨로,"공방, 체험",공방(가죽)
가로수길,봄쥬 주얼리 공방,"공방, 체험",공방(주얼리)
가로수길,라피네 포틴,"공방, 체험",공방(가죽)
가로수길,가죽공방탄,"공방, 체험",공방(가죽)
가로수길,소소정,"공방, 체험",공방(비누)
가로수길,착한기다림mean,"공방, 체험","공방(비누,캔들)"
가로수길,RWP가죽공방,"공방, 체험",공방(가죽)
가로수길,핫플레이스 뮤지엄,"전시회, 박물관, 미술관",전시관
가로수길,시몬느 핸드백 박물관,"전시회, 박물관, 미술관",박물관
가로수길,마크앤스페이스 신사점,"전시회, 박물관, 미술관",전시관
가로수길,가로수길(쇼핑거리),쇼핑,쇼핑
가로수길,잠원한강공원,"산책(한강, 공원, 전망대)",한강
가로수길,도산공원,"산책(한강, 공원, 전망대)",공원
가로수길,애플스토어 매장,쇼핑,쇼핑
가로수길,코드이스케이프 가로수길,"실내(VR, 방탈출, 오락실, 보드카페)",방탈출
가로수길,시그널헌터 가로수길점,"실내(VR, 방탈출, 오락실, 보드카페)",방탈출
가로수길,이스케이프 샾,"실내(VR, 방탈출, 오락실, 보드카페)",방탈출
가로수길,메종에르메스도산파크,"전시회, 박물관, 미술관",전시관
가로수길,Social code,"전시회, 박물관, 미술관",미술관
가로수길,올드스토리뮤지엄,"전시회, 박물관, 미술관",박물관
가로수길,로얄라운지,"전시회, 박물관, 미술관",전시관
가로수길,슬리크스튜디오,"공방, 체험",공방
가로수길,글로우스트라이크,"실내 활동적(볼링, 테마)",볼링장
가로수길,스페이스 씨,"전시회, 박물관, 미술관",미술관
가로수길,아트스페이스엣,"전시회, 박물관, 미술관",전시관
가로수길,더샵갤러리,"전시회, 박물관, 미술관",전시관
가로수길,롯데시네마 브로드웨이,"영화관, 극장, 공연",영화관
가로수길,조이앤시네마,"영화관, 극장, 공연",영화관
가로수길,이봄씨어터,"영화관, 극장, 공연",영화관
가로수길,넥스트비쥬얼스튜디오 시사실,"영화관, 극장, 공연",영화관
가로수길,메가박스중앙,"영화관, 극장, 공연",영화관
가로수길,프리즘 시네살롱,"영화관, 극장, 공연",영화관
연남동,옐로우미플,"실내(VR, 방탈출, 오락실, 보드카페)",보드카페
연남동,이스케이퍼스,"실내(VR, 방탈출, 오락실, 보드카페)",방탈출카페
연남동,라헨느,"실내 활동적(볼링, 테마)",테마카페
연남동,릴리쿰,"실내 활동적(볼링, 테마)",테마카페
연남동,리본카페,"실내 활동적(볼링, 테마)",테마카페
연남동,HOOKY,"실내 활동적(볼링, 테마)",테마카페
연남동,씨더라이트,"실내 활동적(볼링, 테마)",테마카페
연남동,김도윤의 사주&타로이야기,"공방, 체험",사주카페
